ID,Sticker,Latitud,Longitud,Nombre_comun
1,043093,2.9425,-75.2972,Guayacan trebol
2,043073,2.9425,-75.2972,Guayacan trebol
3,043322,2.9425,-75.2972,Guayacan trebol
4,043322,2.9425,-75.2972,Guayacan trebol
5,043346,2.9425,-75.2972,Guayacan trebol
6,043346,2.9425,-75.2972,Guayacan trebol
7,043346,2.9426,-75.2972,Guayacan trebol
8,043728,2.9426,-75.2971,limoncillo
9,044827,2.9427,-75.2971,Leucaena
10,044827,2.9427,-75.2971,Leucaena
11,067123,2.9427,-75.2971,Leucaena
12,041018,2.9427,-75.2971,Leucaena
13,041017,2.9427,-75.2971,Leucaena
14,041017,2.9428,-75.2971,Leucaena
15,041017,2.9429,-75.2971,limoncillo
16,041017,2.9429,-75.2971,limoncillo
17,041047,2.9429,-75.2971,limoncillo
18,041048,2.9429,-75.2971,Leucaena
19,043727,2.943,-75.2971,limoncillo
20,043728,2.943,-75.2971,Leucaena
21,067123,2.9431,-75.2971,Guacimo
22,041047,2.9431,-75.2971,Guacimo
23,041047,2.9431,-75.2971,limoncillo
24,041014,2.9431,-75.2971,limoncillo
25,3132-150,2.9432,-75.297,Leucaena
26,3133-150,2.9432,-75.297,Leucaena
27,3133-150,2.9432,-75.297,Leucaena
28,3133-150,2.9433,-75.297,Leucaena
29,3134-150,2.9434,-75.297,limoncillo
30,3135-150,2.9435,-75.2969,limoncillo
31,3136-150,2.9436,-75.2969,limoncillo
32,3136-150,2.9436,-75.2969,limoncillo
33,3136-150,2.9437,-75.2969,Samán
34,3137-150,2.9438,-75.2969,Samán
35,3137-150,2.944,-75.2968,limoncillo
36,3137-150,2.944,-75.2968,limoncillo
37,3140-150,2.9443,-75.2968,Leucaena
38,3139-150,2.9443,-75.2968,Leucaena
39,3122-150,2.9444,-75.2968,Caucho
40,3122-150,2.9444,-75.2968,Caucho
41,3122-150,2.9444,-75.2968,Caucho
42,3122-150,2.9446,-75.2968,Acacia roja
43,044831,2.9446,-75.2968,Acacia roja
44,050955,2.9447,-75.2967,Guayacan trebol
45,044810,2.9447,-75.2967,Guayacan trebol
46,051075,2.9447,-75.2967,Guayacan trebol
47,051076,2.9448,-75.2967,Mango
48,011437,2.9449,-75.2967,Mango
49,011437,2.9449,-75.2967,Mango
50,011436,2.945,-75.2967,Calabacero
51,044824,2.945,-75.2967,Palma areca
52,044824,2.945,-75.2967,Palma areca
53,044824,2.945,-75.2966,Palo de brasil
54,041563,2.9451,-75.2966,Ocobo
55,041563,2.9451,-75.2966,Guayacan trebol
56,041551,2.9451,-75.2966,Guayacan trebol
57,041552,2.9451,-75.2966,Guayacan trebol
58,041571,2.9452,-75.2966,Oití
59,041566,2.9452,-75.2966,Calabacero
60,041573,2.9452,-75.2966,Calabacero
61,041573,2.9452,-75.2966,Guayacan trebol
62,023588,2.9452,-75.2966,Guayacan trebol
63,043259,2.9452,-75.2966,Guayabo
64,043260,2.9452,-75.2966,Guayabo
65,043261,2.9452,-75.2966,Palo santo
66,041562,2.9452,-75.2966,Palo santo
67,041562,2.9453,-75.2966,Guayacan trebol
68,041562,2.9453,-75.2966,Guayacan trebol
69,041562,2.9453,-75.2966,Ocobo
70,044816,2.9453,-75.2966,Mamoncillo
71,044816,2.9454,-75.2966,Palo santo
72,041023,2.9454,-75.2966,Mamoncillo
73,041023,2.9454,-75.2966,Mamoncillo
74,044848,2.9454,-75.2966,Mamoncillo
75,044837,2.9454,-75.2966,Mamoncillo
76,041560,2.9454,-75.2966,Caucho
77,041574,2.9454,-75.2966,Caucho
78,041574,2.9454,-75.2966,Caucho
79,041565,2.9454,-75.2966,Caucho
80,041565,2.9454,-75.2966,Caucho
81,041561,2.9454,-75.2966,Caucho
82,041561,2.9454,-75.2966,Caucho
83,041561,2.9454,-75.2966,Caucho
84,041567,2.9454,-75.2966,Caucho
85,041567,2.9454,-75.2966,Caucho
86,041567,2.9454,-75.2966,Caucho
87,041567,2.9455,-75.2965,Samán
88,041567,2.9455,-75.2965,Samán
89,041567,2.9456,-75.2965,Leucaena
90,041567,2.9456,-75.2965,Leucaena
91,051075,2.9456,-75.2965,Anon
92,041568,2.9457,-75.2965,Marañon
93,041568,2.9457,-75.2965,Limon
94,041555,2.9458,-75.2965,Mango
95,041553,2.9458,-75.2965,Mango
96,044823,2.9458,-75.2965,Mango
97,044821,2.9458,-75.2964,Limon
98,044821,2.9458,-75.2964,Crucecita
99,044821,2.9459,-75.2964,Limon
100,028528,2.9459,-75.2964,Guayacan trebol
101,030611,2.946,-75.2964,Ocobo
102,030611,2.946,-75.2964,Marañon
103,038943,2.946,-75.2964,Mamoncillo
104,038943,2.946,-75.2964,Mango
105,038943,2.9461,-75.2964,Oití
106,038943,2.9461,-75.2964,Oití
107,038853,2.9461,-75.2964,Ocobo
108,038449,2.9461,-75.2964,Ocobo
109,038449,2.9461,-75.2963,Mamoncillo
110,038449,2.9461,-75.2963,Mamoncillo
111,038449,2.9462,-75.2963,Oití
112,3129-150,2.9462,-75.2963,Oití
113,3129-150,2.9462,-75.2963,Leucaena
114,3129-150,2.9463,-75.2963,Guayacan trebol
115,3129-150,2.9463,-75.2963,Leucaena
116,035202,2.9464,-75.2963,Leucaena
117,035211,2.9464,-75.2963,Leucaena
118,035211,2.9464,-75.2963,Leucaena
119,035211,2.9465,-75.2963,Limon
120,035211,2.9465,-75.2963,Guayacan trebol
121,043753,2.9466,-75.2962,Guayacan trebol
122,043753,2.9467,-75.2962,Mango
123,043753,2.9467,-75.2962,Palo de brasil
124,3130-150,2.9467,-75.2962,Palo de brasil
125,3130-150,2.9467,-75.2962,Palo de brasil
126,3130-150,2.9467,-75.2962,Palo de brasil
127,040585,2.9467,-75.2962,Palo de brasil
128,040585,2.9467,-75.2962,Palo de brasil
129,040585,2.9467,-75.2962,Palo de brasil
130,040585,2.9467,-75.2962,Palo de brasil
131,044804,2.9468,-75.2962,Mango
132,044804,2.9468,-75.2962,Mango
133,041547,2.9468,-75.2962,Mango
134,041547,2.9468,-75.2962,Mango
135,041547,2.9468,-75.2962,Mango
136,041547,2.9468,-75.2962,Limon
137,041547,2.9468,-75.2962,Limon
138,041523,2.9468,-75.2962,Limon
139,043754,2.9469,-75.2962,Mango
140,043754,2.9469,-75.2962,Mango
141,043754,2.9471,-75.2961,Mamoncillo
142,043754,2.9471,-75.2961,Mamoncillo
143,043754,2.9471,-75.2961,Mamoncillo
144,043754,2.9472,-75.2961,Leucaena
145,043349,2.9473,-75.2961,Aceituno
146,043349,2.9473,-75.2961,Guayabo
147,043302,2.9473,-75.2961,Guayabo
148,067376,2.9474,-75.296,Algodonero
149,067343,2.9474,-75.296,Algodonero
150,067343,2.9474,-75.296,Mango
151,065205,2.9475,-75.296,Marañon
152,065205,2.9475,-75.296,Mango
153,065205,2.9476,-75.296,Leucaena
154,065205,2.9476,-75.296,Leucaena
155,065214,2.9476,-75.296,Algodonero
156,065214,2.9476,-75.296,Muerto en pie
157,065214,2.9477,-75.296,Leucaena
158,067636,2.9477,-75.296,Muerto en pie
159,067636,2.9477,-75.296,Algodonero
160,067636,2.9477,-75.296,Algodonero
161,043743,2.9477,-75.296,Mamoncillo
162,043747,2.9477,-75.296,Ocobo
163,043747,2.9477,-75.296,Corona de la Reina
164,043747,2.9477,-75.296,Corona de la Reina
165,043747,2.9478,-75.296,Corona de la Reina
166,043745,2.9478,-75.296,Corona de la Reina
167,043745,2.9478,-75.296,Guayacan trebol
168,043745,2.9478,-75.2959,Mamoncillo
169,043745,2.9479,-75.2959,Guayacan trebol
170,2940-35,2.9479,-75.2959,Limon
171,2940-35,2.9479,-75.2959,Limon
172,2958-50,2.9479,-75.2959,Limon
173,037100,2.9479,-75.2959,Limon
174,037100,2.948,-75.2959,Limon
175,037100,2.948,-75.2959,Oití
176,037100,2.948,-75.2959,Oití
177,037100,2.948,-75.2959,Calabacero
178,037100,2.948,-75.2959,Calabacero
179,2943-35,2.948,-75.2959,Calabacero
180,2943-35,2.9481,-75.2959,Sauco amarillo
181,2943-35,2.9481,-75.2959,Sauco amarillo
182,2943-35,2.9481,-75.2959,Sauco amarillo
183,2943-35,2.9481,-75.2959,Leucaena
184,037096,2.9481,-75.2959,Payandé
185,037096,2.9482,-75.2958,Leucaena
186,020527,2.9483,-75.2958,Mango
187,2951-35,2.9483,-75.2958,Mango
188,2951-35,2.9483,-75.2958,Leucaena
189,2951-35,2.9484,-75.2958,Leucaena
190,012224,2.9484,-75.2958,Leucaena
191,012224,2.9484,-75.2958,Guayacan trebol
192,A05073&C2-0021,2.9484,-75.2958,Acacia
193,A05073&C2-0021,2.9485,-75.2958,Guayacan trebol
194,A05073&C2-0021,2.9485,-75.2958,Guayacan trebol
195,A05073&C2-0021,2.9485,-75.2958,Guayacan trebol
196,037085,2.9486,-75.2958,limoncillo
197,037085,2.9486,-75.2958,limoncillo
198,035267,2.9486,-75.2958,limoncillo
199,035267,2.9486,-75.2958,limoncillo
200,035267,2.9487,-75.2957,limoncillo
201,035267,2.9488,-75.2957,Leucaena
202,035267,2.9489,-75.2957,Leucaena
203,035267,2.9489,-75.2957,Leucaena
204,035267,2.949,-75.2957,Sauco amarillo
205,035267,2.949,-75.2957,Sauco amarillo
206,035267,2.949,-75.2957,Sauco amarillo
207,035267,2.949,-75.2957,Sauco amarillo
208,035267,2.9491,-75.2956,Ocobo
209,035267,2.9491,-75.2956,Limon
210,043308,2.9491,-75.2956,Limon
211,043344,2.9491,-75.2956,Limon
212,043344,2.9491,-75.2956,Oití
213,043325,2.9492,-75.2956,Guayacan trebol
214,043323,2.9492,-75.2956,Almendro
215,043323,2.9492,-75.2956,Leucaena
216,043320,2.9492,-75.2956,Limon
217,065213,2.9492,-75.2956,Limon
218,065213,2.9492,-75.2956,Limon
219,065213,2.9493,-75.2956,Neem
220,065213,2.9493,-75.2956,Oití
221,030167,2.9493,-75.2956,Neem
222,029305,2.9494,-75.2955,Neem
223,030180,2.9494,-75.2955,Oití
224,029305,2.9494,-75.2955,Mango
225,030180,2.9495,-75.2955,Samán
226,030180,2.9495,-75.2955,Neem
227,030198,2.9495,-75.2955,Samán
228,030176,2.9496,-75.2955,Mamoncillo
229,030176,2.9496,-75.2955,Mango
230,030176,2.9496,-75.2955,Mango
231,030183,2.9497,-75.2955,Leucaena
232,030183,2.9497,-75.2955,Oití
233,030183,2.9497,-75.2955,Ocobo
234,030183,2.9497,-75.2955,Ocobo
235,030183,2.9497,-75.2955,Oití
236,030183,2.9497,-75.2955,Oití
237,030162,2.9498,-75.2955,Caucho
238,030162,2.9498,-75.2955,Caucho
239,030162,2.9498,-75.2954,Mango
240,030162,2.9498,-75.2954,Mango
241,030162,2.9498,-75.2954,Mango
242,030173,2.9499,-75.2954,Mamoncillo
243,030183,2.9499,-75.2954,Mamoncillo
244,030175,2.9499,-75.2954,Mamoncillo
245,030173,2.9499,-75.2954,Samán
246,030183,2.95,-75.2954,Mango
247,030183,2.95,-75.2954,Mango
248,030183,2.95,-75.2954,Mango
249,030183,2.95,-75.2954,Mango
250,030183,2.95,-75.2954,Mango
251,030183,2.95,-75.2954,Mango
252,030183,2.95,-75.2954,Mango
253,030175,2.9501,-75.2954,Mamoncillo
254,030173,2.9502,-75.2953,Leucaena
255,029320,2.9504,-75.2953,Catape
256,030178,2.9504,-75.2953,Catape
257,030178,2.9504,-75.2953,Catape
258,030178,2.9504,-75.2953,Samán
259,029331,2.9506,-75.2952,Acacia
260,029331,2.9506,-75.2952,Leucaena
261,029331,2.9506,-75.2952,Samán
262,030166,2.9506,-75.2952,Leucaena
263,029331,2.9507,-75.2952,Acacia
264,030166,2.9507,-75.2952,Samán
265,030166,2.9508,-75.2952,Caucho
266,030166,2.9508,-75.2952,Samán
267,030166,2.9508,-75.2952,limoncillo
268,030166,2.9508,-75.2952,Ocobo
269,019590,2.9509,-75.2952,Ocobo
270,019590,2.9509,-75.2952,Samán
271,030174,2.9509,-75.2952,Leucaena
272,011121,2.951,-75.2952,Tamarindo
273,029316,2.9511,-75.2951,Leucaena
274,029316,2.9511,-75.2951,Leucaena
275,030174,2.9512,-75.2951,Payandé
276,030174,2.9512,-75.2951,Payandé
277,030174,2.9512,-75.2951,Payandé
278,030174,2.9512,-75.2951,Neem
279,029344,2.9512,-75.2951,Payandé
280,030179,2.9514,-75.295,Maíz tostao
281,029337,2.9514,-75.295,Maíz tostao
282,029337,2.9514,-75.295,Maíz tostao
283,019591,2.9516,-75.295,Samán
284,019591,2.9517,-75.295,Samán
285,019591,2.9517,-75.2949,Mango
286,019591,2.9517,-75.2949,Mango
287,029319,2.9519,-75.2949,Muerto en pie
288,029319,2.952,-75.2949,Samán
289,030151,2.952,-75.2949,Samán
290,030152,2.9522,-75.2948,Samán
291,030152,2.9523,-75.2948,Samán
292,020390,2.9525,-75.2948,Samán
293,030168,2.9526,-75.2947,Mamoncillo
294,017158,2.952444,-75.284818,Leucaena
295,017158,2.952444,-75.284818,Leucaena
296,017158,2.952444,-75.284818,Leucaena
297,017158,2.952444,-75.284818,Leucaena
298,030160,2.9531,-75.2946,Samán
299,030158,2.9533,-75.2946,Mamoncillo
300,029201,2.9535,-75.2945,Guayacan trebol
301,028514,2.9535,-75.2945,Guayacan trebol
302,028514,2.9535,-75.2945,Guayacan trebol
303,028524,2.9536,-75.2945,Samán
304,020394,2.9538,-75.2945,Lluvia de oro
305,029355,2.9539,-75.2944,Mango
306,029355,2.9539,-75.2944,Mango
307,029355,2.9539,-75.2944,Mango
308,029357,2.9541,-75.2944,Almendro
309,029328,2.9542,-75.2944,Almendro
310,029367,2.9544,-75.2943,Neem
311,030150,2.9544,-75.2943,Neem
312,029367,2.9544,-75.2943,Neem
313,030150,2.9544,-75.2943,Neem
314,020392,2.9545,-75.2943,Neem
315,020392,2.9545,-75.2943,Neem
316,029368,2.9546,-75.2942,Ocobo
317,029365,2.9547,-75.2942,Leucaena
318,029365,2.9547,-75.2942,Leucaena
319,029361,2.9552,-75.2941,Mango
320,019358,2.9552,-75.2941,Mango
321,029369,2.9552,-75.2941,Limon
322,029369,2.9552,-75.2941,Limon
323,029369,2.9552,-75.2941,Limon
324,029369,2.9552,-75.2941,Limon
325,029369,2.9554,-75.294,Almendro
326,029362,2.9555,-75.294,Ocobo
327,029359,2.9557,-75.294,Leucaena
328,029321,2.9557,-75.294,Leucaena
329,029321,2.9557,-75.294,Leucaena
330,029321,2.9557,-75.294,Leucaena
331,029375,2.9557,-75.294,Ocobo
332,029375,2.9557,-75.294,Ocobo
333,029375,2.956,-75.2939,Carbonero
334,029335,2.9563,-75.2938,Ocobo
335,029372,2.9563,-75.2938,Ocobo
336,029370,2.9565,-75.2938,Aceituno
337,029339,2.9565,-75.2937,Leucaena
338,029339,2.9565,-75.2937,Leucaena
339,029339,2.9565,-75.2937,Leucaena
340,029374,2.9567,-75.2937,Payandé
341,029376,2.9567,-75.2937,Payandé
342,029376,2.9567,-75.2937,Payandé
343,029325,2.9567,-75.2937,Payandé
344,029326,2.957,-75.2936,Palo santo
345,029330,2.9573,-75.2935,Oití
346,029322,2.9573,-75.2935,Oití
347,004888,2.9575,-75.2937,Carbinero
348,017391,2.9575,-75.2939,Oití
349,017391,2.9575,-75.2939,Oití
350,017391,2.9575,-75.2939,Oití
351,017391,2.9575,-75.2939,Oití
352,004649,2.9577,-75.2943,Almendro
353,004438,2.9578,-75.2948,Oití
354,004438,2.9578,-75.2948,Oití
355,004438,2.9578,-75.2948,Oití
356,021314,2.958,-75.2957,Oití
357,021314,2.958,-75.2957,Oití
358,021327,2.958,-75.296,Mirto
359,028032,2.9581,-75.297,Mango
360,028032,2.9581,-75.297,Mango
361,028032,2.9581,-75.297,Mango
362,028023,2.958,-75.297,Palo de cruz
363,028023,2.958,-75.297,Palo de cruz
364,028024,2.9577,-75.297,Carbonero
365,028024,2.9577,-75.297,Carbonero
366,028024,2.9577,-75.297,Carbonero
367,028024,2.9577,-75.297,Carbonero
368,028024,2.9576,-75.297,Carbonero
369,028024,2.9576,-75.297,Carbonero
370,028024,2.9576,-75.297,Carbonero
371,028024,2.9576,-75.297,Carbonero
372,025927,2.9574,-75.2971,Carbonero
373,026441,2.9574,-75.297,Oití
374,026441,2.9574,-75.297,Oití
375,026441,2.9574,-75.297,Oití
376,026441,2.9572,-75.2971,Ocobo
377,026441,2.9571,-75.2971,Mango
378,016446,2.9558,-75.2973,Palo de cruz
379,016446,2.9558,-75.2973,Palo de cruz
380,026446,2.9557,-75.2973,Carbonero
381,026446,2.9557,-75.2973,Carbonero
382,026446,2.9557,-75.2973,Carbonero
383,026446,2.9557,-75.2973,Carbonero
384,016452,2.9555,-75.2974,Palo de cruz
385,026429,2.9552,-75.2974,Pomarrosa
386,026429,2.9552,-75.2974,Carbonero
387,026429,2.9552,-75.2974,Carbonero
388,026429,2.9552,-75.2974,Carbonero
389,026429,2.9552,-75.2974,Carbonero
390,026451,2.955,-75.2975,Arbol lira
391,026451,2.955,-75.2975,Arbol lira
392,026451,2.955,-75.2975,Arbol lira
393,026451,2.9549,-75.2975,Palo de cruz
394,026451,2.9549,-75.2975,Palo de cruz
