ID,Sticker,Observación
1,010572,YA EJECUTADA
2,010533,YA EJECUTADA
3,010537,YA EJECUTADA
4,068742,YA EJECUTADA
5,068744,YA EJECUTADA
6,031238,YA EJECUTADA
7,031224,YA EJECUTADA
8,031236,YA EJECUTADA
9,031206,YA EJECUTADA
10,009175,YA EJECUTADA
11,018817,YA EJECUTADA
12,3405-35,YA EJECUTADA
13,3404-35,YA EJECUTADA
14,3402-35,YA EJECUTADA
15,022941,YA EJECUTADA
16,018838,YA EJECUTADA
17,018400,YA EJECUTADA
18,064788,YA EJECUTADA
19,065010,YA EJECUTADA
20,067652,YA EJECUTADA
21,066766,YA EJECUTADA
22,066750,YA EJECUTADA
23,008733,YA EJECUTADA
24,032640,YA EJECUTADA
25,067661,YA EJECUTADA
26,036744,YA EJECUTADA
27,067663,YA EJECUTADA
28,024823,YA EJECUTADA
29,024862,YA EJECUTADA
30,010306,YA EJECUTADA
31,037150,YA EJECUTADA
32,009010,YA EJECUTADA
33,037164,YA EJECUTADA
34,011790,YA EJECUTADA
35,012087,YA EJECUTADA
36,026505,YA EJECUTADA
37,016497,YA EJECUTADA
38,016356,YA EJECUTADA
39,044562,YA EJECUTADA
40,064053,YA EJECUTADA
41,064092,YA EJECUTADA
42,011437,YA EJECUTADA
43,033243,YA EJECUTADA
44,065607,YA EJECUTADA
45,033254,YA EJECUTADA
46,065758,YA EJECUTADA
47,062905,YA EJECUTADA
48,062910,YA EJECUTADA
49,062902,YA EJECUTADA
50,062906,YA EJECUTADA
51,062907,YA EJECUTADA
52,069556,YA EJECUTADA
53,069552,YA EJECUTADA
54,040552,YA EJECUTADA
55,039497,YA EJECUTADA
56,3119-35,YA EJECUTADA
57,027331,YA EJECUTADA
58,010752,YA EJECUTADA
59,036414,YA EJECUTADA
60,040286,YA EJECUTADA
61,019723,YA EJECUTADA
62,064578,YA EJECUTADA
63,039211,YA EJECUTADA
64,032292,YA EJECUTADA
65,019530,YA EJECUTADA
66,019551,YA EJECUTADA
67,064514,YA EJECUTADA
68,031238,YA EJECUTADA
69,031224,YA EJECUTADA
70,031236,YA EJECUTADA
71,031206,YA EJECUTADA
72,009175,YA EJECUTADA
73,3404-35,YA EJECUTADA
74,3405-35,YA EJECUTADA
75,3402-35,YA EJECUTADA
76,022941,YA EJECUTADA
77,018838,YA EJECUTADA
78,026200,YA EJECUTADA
79,041457,YA EJECUTADA
80,3623-150,YA EJECUTADA
81,018871,YA EJECUTADA
82,1925-100,YA EJECUTADA
83,050423,YA EJECUTADA
84,030061,YA EJECUTADA
85,030070,YA EJECUTADA
86,032081,YA EJECUTADA
87,039989,YA EJECUTADA
88,066423,YA EJECUTADA
89,043393,YA EJECUTADA
90,066620,YA EJECUTADA
91,026701,YA EJECUTADA
92,005471,YA EJECUTADA
93,016912,YA EJECUTADA
94,003406,YA EJECUTADA
95,067626,YA EJECUTADA
96,053174,YA EJECUTADA
97,035207,YA EJECUTADA
98,040573,YA EJECUTADA
99,040567,YA EJECUTADA
100,021944,YA EJECUTADA
101,035278,YA EJECUTADA
102,035258,YA EJECUTADA
103,035272,YA EJECUTADA
104,035273,YA EJECUTADA
105,040560,YA EJECUTADA
106,040559,YA EJECUTADA
107,040571,YA EJECUTADA
108,040553,YA EJECUTADA
109,035255,YA EJECUTADA
110,040555,YA EJECUTADA
111,053174,YA EJECUTADA
112,035207,YA EJECUTADA
113,040573,YA EJECUTADA
114,040567,YA EJECUTADA
115,021944,YA EJECUTADA
116,035278,YA EJECUTADA
117,035258,YA EJECUTADA
118,035272,YA EJECUTADA
119,035273,YA EJECUTADA
120,019720,YA EJECUTADA
121,019716,YA EJECUTADA
122,062120,YA EJECUTADA
123,062117,YA EJECUTADA
124,019945,YA EJECUTADA
125,066466,YA EJECUTADA
126,007536,YA EJECUTADA
127,064076,YA EJECUTADA
128,027166,YA EJECUTADA
129,027160,YA EJECUTADA
130,027188,YA EJECUTADA
131,027142,YA EJECUTADA
132,022643,YA EJECUTADA
133,007564,YA EJECUTADA
134,017631,YA EJECUTADA
135,020526,YA EJECUTADA
136,035207,YA EJECUTADA
137,053174,YA EJECUTADA
138,035213,YA EJECUTADA
139,035267,YA EJECUTADA
140,035253,YA EJECUTADA
141,062761,YA EJECUTADA
142,005497,YA EJECUTADA
143,006976,YA EJECUTADA
144,050892,YA EJECUTADA
145,006907,YA EJECUTADA
146,027342,YA EJECUTADA
147,039400,YA EJECUTADA
148,019887,YA EJECUTADA
149,029449,YA EJECUTADA
150,029432,YA EJECUTADA
151,029452,YA EJECUTADA
152,018596,YA EJECUTADA
153,031781,YA EJECUTADA
154,006964,YA EJECUTADA
155,069889,YA EJECUTADA
156,018596,YA EJECUTADA
157,026200,YA EJECUTADA
158,035213,YA EJECUTADA
159,035267,YA EJECUTADA
160,062799,YA EJECUTADA
161,062798,YA EJECUTADA
162,063564,YA EJECUTADA
163,062731,YA EJECUTADA
164,062708,YA EJECUTADA
165,062719,YA EJECUTADA
166,006890,YA EJECUTADA
167,011699,YA EJECUTADA
168,019887,YA EJECUTADA
169,041536,YA EJECUTADA
170,041541,YA EJECUTADA
171,064578,YA EJECUTADA
172,039211,YA EJECUTADA
173,032292,YA EJECUTADA
174,019530,YA EJECUTADA
175,019551,YA EJECUTADA
176,064514,YA EJECUTADA
177,026763,YA EJECUTADA
178,030050,YA EJECUTADA
179,040396,YA EJECUTADA
180,3348-90,YA EJECUTADA
181,061134,YA EJECUTADA
182,061136,YA EJECUTADA
